8 27, 2024 11:33:02 午後 org.apache.karaf.main.Main launch
情報: Installing and starting initial bundles
8 27, 2024 11:33:02 午後 org.apache.karaf.main.Main launch
情報: All initial bundles installed and set to start
8 27, 2024 11:33:02 午後 org.apache.karaf.main.lock.SimpleFileLock lock
情報: Trying to lock /Users/ynitta/Documents/sandbox/osgi-sandbox/karaf/apache-karaf-4.4.6/lock
8 27, 2024 11:33:02 午後 org.apache.karaf.main.lock.SimpleFileLock lock
情報: Lock acquired
8 27, 2024 11:33:02 午後 org.apache.karaf.main.Main$KarafLockCallback lockAcquired
情報: Lock acquired. Setting startlevel to 100
2024-08-27T23:33:04,583 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 5 - org.ops4j.pax.logging.pax-logging-log4j2 - 2.2.7 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2024-08-27T23:33:06,293 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.4.6
2024-08-27T23:33:06,294 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.4.6
2024-08-27T23:33:06,295 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.sshd/sshd-osgi/2.12.1
2024-08-27T23:33:06,295 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.sshd/sshd-scp/2.12.1
2024-08-27T23:33:06,297 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.sshd/sshd-sftp/2.12.1
2024-08-27T23:33:06,298 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.jline/jline/3.21.0
2024-08-27T23:33:06,299 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.6.14/jar/uber
2024-08-27T23:33:06,316 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Installing bundles:
2024-08-27T23:33:06,318 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.bouncycastle/bcpkix-jdk18on/1.77
2024-08-27T23:33:06,384 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.bouncycastle/bcprov-jdk18on/1.77
2024-08-27T23:33:06,448 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.bouncycastle/bcutil-jdk18on/1.77
2024-08-27T23:33:06,461 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2024-08-27T23:33:06,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2024-08-27T23:33:06,482 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2024-08-27T23:33:06,510 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.aries/org.apache.aries.util/1.1.3
2024-08-27T23:33:06,549 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.4.6
2024-08-27T23:33:06,562 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.config/org.apache.karaf.config.command/4.4.6
2024-08-27T23:33:06,569 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.4.6
2024-08-27T23:33:06,580 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.4.6
2024-08-27T23:33:06,591 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.4.6
2024-08-27T23:33:06,596 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.4.6
2024-08-27T23:33:06,644 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf/org.apache.karaf.event/4.4.6
2024-08-27T23:33:06,649 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.4.6
2024-08-27T23:33:06,652 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.4.6
2024-08-27T23:33:06,665 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.4.6
2024-08-27T23:33:06,672 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.4.6
2024-08-27T23:33:06,677 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.4.6
2024-08-27T23:33:06,687 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.4.6
2024-08-27T23:33:06,695 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.4.6
2024-08-27T23:33:06,701 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.4.6
2024-08-27T23:33:06,704 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.4.6
2024-08-27T23:33:06,712 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.4.6
2024-08-27T23:33:06,717 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.4.6
2024-08-27T23:33:06,722 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.4.6
2024-08-27T23:33:06,731 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.4.6
2024-08-27T23:33:06,738 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.4.6
2024-08-27T23:33:06,745 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.sshd/sshd-osgi/2.12.1
2024-08-27T23:33:06,764 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.sshd/sshd-scp/2.12.1
2024-08-27T23:33:06,780 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.sshd/sshd-sftp/2.12.1
2024-08-27T23:33:06,797 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.jline/jline/3.21.0
2024-08-27T23:33:06,814 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.6.14/jar/uber
2024-08-27T23:33:07,177 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Starting bundles:
2024-08-27T23:33:07,187 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.ops4j.pax.url.wrap/2.6.14
2024-08-27T23:33:07,215 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.aries.util/1.1.3
2024-08-27T23:33:07,219 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.deployer.kar/4.4.6
2024-08-27T23:33:07,243 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.deployer.wrap/4.4.6
2024-08-27T23:33:07,264 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.deployer.features/4.4.6
2024-08-27T23:33:07,300 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   bcprov/1.77.0
2024-08-27T23:33:07,308 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   bcutil/1.77.0
2024-08-27T23:33:07,314 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   bcpkix/1.77.0
2024-08-27T23:33:07,318 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.sshd.osgi/2.12.1
2024-08-27T23:33:07,321 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.sshd.scp/2.12.1
2024-08-27T23:33:07,325 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.sshd.sftp/2.12.1
2024-08-27T23:33:07,329 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.jline/3.21.0
2024-08-27T23:33:07,333 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.shell.core/4.4.6
2024-08-27T23:33:07,591 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.deployer.kar/4.4.6
2024-08-27T23:33:08,253 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.log.core/4.4.6
2024-08-27T23:33:08,461 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.log.core/4.4.6
2024-08-27T23:33:08,484 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.features.command/4.4.6
2024-08-27T23:33:08,819 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.features.command/4.4.6
2024-08-27T23:33:08,823 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.instance.core/4.4.6
2024-08-27T23:33:09,028 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.instance.core/4.4.6
2024-08-27T23:33:09,038 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.bundle.core/4.4.6
2024-08-27T23:33:09,288 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.bundle.core/4.4.6
2024-08-27T23:33:09,291 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.aries.jmx.whiteboard/1.2.0
2024-08-27T23:33:09,302 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.diagnostic.core/4.4.6
2024-08-27T23:33:09,324 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.diagnostic.core/4.4.6
2024-08-27T23:33:09,325 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.aries.jmx.api/1.1.5
2024-08-27T23:33:09,332 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.aries.jmx.core/1.1.8
2024-08-27T23:33:09,346 | INFO  | features-3-thread-1 | core                             | 24 - org.apache.aries.jmx.core - 1.1.8 | Starting JMX OSGi agent
2024-08-27T23:33:09,392 | INFO  | features-3-thread-1 | core                             | 24 - org.apache.aries.jmx.core - 1.1.8 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=c82ca8d8-5b5c-4f89-ad9c-b4a2dc91cef4] for service with service.id [16]
2024-08-27T23:33:09,398 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.kar.core/4.4.6
2024-08-27T23:33:09,452 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.kar.core/4.4.6
2024-08-27T23:33:09,454 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.shell.commands/4.4.6
2024-08-27T23:33:09,493 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.shell.commands/4.4.6
2024-08-27T23:33:09,497 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Updating commands for bundle org.apache.karaf.shell.commands/4.4.6
2024-08-27T23:33:09,500 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.package.core/4.4.6
2024-08-27T23:33:09,516 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.package.core/4.4.6
2024-08-27T23:33:09,516 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.jaas.config/4.4.6
2024-08-27T23:33:09,532 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.management.server/4.4.6
2024-08-27T23:33:09,551 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.config.command/4.4.6
2024-08-27T23:33:09,553 | INFO  | activator-1-thread-1 | Activator                        | 41 - org.apache.karaf.management.server - 4.4.6 | Setting java.rmi.server.hostname system property to 127.0.0.1
2024-08-27T23:33:09,580 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.config.command/4.4.6
2024-08-27T23:33:09,719 | INFO  | activator-1-thread-1 | core                             | 24 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@723b83a9 with name osgi.core:type=packageState,version=1.5,framework=org.apache.felix.framework,uuid=c82ca8d8-5b5c-4f89-ad9c-b4a2dc91cef4
2024-08-27T23:33:09,723 | INFO  | activator-1-thread-1 | core                             | 24 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@723b83a9 with name osgi.core:type=framework,version=1.7,framework=org.apache.felix.framework,uuid=c82ca8d8-5b5c-4f89-ad9c-b4a2dc91cef4
2024-08-27T23:33:09,727 | INFO  | activator-1-thread-1 | core                             | 24 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@723b83a9 with name osgi.core:type=bundleState,version=1.7,framework=org.apache.felix.framework,uuid=c82ca8d8-5b5c-4f89-ad9c-b4a2dc91cef4
2024-08-27T23:33:09,764 | INFO  | activator-1-thread-1 | core                             | 24 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@723b83a9 with name osgi.core:type=serviceState,version=1.7,framework=org.apache.felix.framework,uuid=c82ca8d8-5b5c-4f89-ad9c-b4a2dc91cef4
2024-08-27T23:33:09,773 | INFO  | activator-1-thread-1 | core                             | 24 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@723b83a9 with name osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=c82ca8d8-5b5c-4f89-ad9c-b4a2dc91cef4
2024-08-27T23:33:09,775 | INFO  | activator-1-thread-1 | core                             | 24 - org.apache.aries.jmx.core - 1.1.8 | Registering org.osgi.jmx.framework.wiring.BundleWiringStateMBean to MBeanServer org.apache.karaf.management.internal.EventAdminMBeanServerWrapper@723b83a9 with name osgi.core:type=wiringState,version=1.1,framework=org.apache.felix.framework,uuid=c82ca8d8-5b5c-4f89-ad9c-b4a2dc91cef4
2024-08-27T23:33:09,833 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.jaas.modules/4.4.6
2024-08-27T23:33:09,912 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.jaas.command/4.4.6
2024-08-27T23:33:09,949 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.jaas.command/4.4.6
2024-08-27T23:33:09,954 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Updating commands for bundle org.apache.karaf.jaas.command/4.4.6
2024-08-27T23:33:09,960 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Updating commands for bundle org.apache.karaf.jaas.command/4.4.6
